BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49903035177,5177,Panaewa (Residential) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853352
49903035179,5179,Papakolea Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634628
49903035181,5181,Pauahi Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00363180
49903035186,5186,Paukukalo Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853350
49903035188,5188,Pearl City Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634629
49903035193,5193,Piihonua Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,02634630
49903035196,5196,Ponohawaii Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,01853352
49903035198,5198,Princess Kahanu Estates Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634632
49903035199,5199,Pulehunui Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,02414182
49903035201,5201,Puukapu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00364148
49903035213,5213,South Maui Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853356
49903035216,5216,Ualapue Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853355
49903035222,5222,Upolu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,02634633
49903035223,5223,Waiahole Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634634
49903035236,5236,Waiakea Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00364489
49903035238,5238,Waianae Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,01853126
49903035239,5239,Waianae Kai Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,02634648
49903035241,5241,Waiehu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,00364587
49903035248,5248,Waiku-Hana Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,02634649
49903035251,5251,Wailau Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00364713
49903035256,5256,Wailua Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,00364740
49903035271,5271,Waimanalo Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,003,Honolulu,00364774
49903035276,5276,Waimanu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00364785
49903035281,5281,Waimea Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,007,Kauai,02414262
49903035283,5283,Waiohinu Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,001,Hawaii,00364821
49903035286,5286,Waiohuli (Residential) Home Land,Hawaiian Home Land,Department of Hawaiian Home Lands,15,HI,009,Maui,01853042
49900270400,0400,Burns Paiute Colony,Indian Colony,Burns Paiute Tribe,41,OR,025,Harney,01118340
